anio;Clave_Ent;estado;Bien jurídico afectado;tipo_delito;Subtipo de delito;Modalidad;enero;febrero;marzo;abril;mayo;junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;total_semestral
2015;1;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con otro elemento;142;155;169;183;196;203;181.0;215.0;165.0;134.0;113.0;110.0;1048
2015;1;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;En accidente de tránsito;48;40;83;95;74;76;95.0;72.0;88.0;103.0;82.0;86.0;416
2015;1;Aguascalientes;El patrimonio;Robo;Robo a casa habitación;Sin violencia;215;176;202;190;215;228;233.0;229.0;202.0;175.0;226.0;180.0;1226
2015;1;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Sin violencia;128;120;138;134;143;105;109.0;105.0;141.0;115.0;165.0;182.0;768
2015;1;Aguascalientes;El patrimonio;Robo;Robo de autopartes;Sin violencia;106;137;149;123;0;0;0.0;0.0;0.0;7.0;3.0;0.0;515
2015;1;Aguascalientes;El patrimonio;Robo;Robo a transeúnte en vía pública;Sin violencia;95;144;160;115;109;104;104.0;99.0;96.0;71.0;83.0;71.0;727
2015;1;Aguascalientes;El patrimonio;Robo;Robo a negocio;Sin violencia;109;80;123;104;116;106;98.0;125.0;113.0;120.0;97.0;101.0;638
2015;1;Aguascalientes;El patrimonio;Robo;Otros robos;Sin violencia;104;102;109;91;236;203;218.0;201.0;214.0;216.0;217.0;207.0;845
2015;1;Aguascalientes;El patrimonio;Fraude;Fraude;Fraude;119;60;104;116;81;110;101.0;77.0;80.0;97.0;75.0;67.0;590
2015;1;Aguascalientes;El patrimonio;Daño a la propiedad;Daño a la propiedad;Daño a la propiedad;201;180;182;160;121;166;160.0;151.0;178.0;133.0;121.0;107.0;1010
2015;1;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Amenazas;Amenazas;Amenazas;98;111;87;123;93;109;99.0;95.0;84.0;101.0;81.0;67.0;621
2015;1;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Otros delitos del Fuero Común;Otros delitos del Fuero Común;Otros delitos del Fuero Común;79;83;65;84;79;104;137.0;74.0;104.0;203.0;237.0;365.0;494
2015;2;Baja California;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;No especificado;825;850;1000;990;1045;1145;1095.0;1088.0;1082.0;990.0;788.0;772.0;5855
